epoch,train_loss,val_loss,val_acc
1,1.0143,1.1346187925338744,0.3333
2,0.6784,1.7819820976257323,0.3333
3,0.5295,2.0048804903030395,0.3500
4,0.3875,1.302889796892802,0.4833
5,0.2382,1.0942093753814697,0.5967
6,0.1366,0.5373251132170359,0.8067
7,0.0751,0.6046299958229064,0.8267
8,0.0646,0.5140457701683044,0.8567
9,0.0810,0.8042034284273784,0.7933
10,0.0516,0.7212994527816773,0.7867
11,0.0252,0.7059210272630055,0.8233
12,0.0165,0.7805584812164307,0.8100
13,0.0165,1.1782907183965048,0.7900
14,0.0415,0.6574442450205485,0.8300
15,0.0248,0.9378273518880208,0.7600
16,0.0407,0.7930139938990275,0.8100
17,0.0223,2.5890768273671467,0.5700
18,0.0517,1.0119123156865437,0.7533
19,0.0216,0.803984079360962,0.8033
20,0.0115,0.6790198572476704,0.8533
21,0.0048,0.6368645199139913,0.8433
22,0.0039,0.6092882005373637,0.8733
23,0.0037,0.6543481131394704,0.8800
24,0.0219,0.5374801651636759,0.8833
25,0.0280,1.0493177556991578,0.8167
26,0.0360,0.8036924648284912,0.8033
27,0.0331,1.163726774851481,0.7733
28,0.0272,1.2409614642461142,0.7833
29,0.0479,1.3591040229797364,0.7400
30,0.0381,0.7094242095947265,0.8233
31,0.0225,0.5169400803248088,0.8633
32,0.0151,0.7142637864748637,0.8200
33,0.0122,0.6906361548105876,0.8467
34,0.0040,0.6410574173927307,0.8833
35,0.0021,0.8270283023516337,0.8700
36,0.0004,0.7803438456853231,0.8600
37,0.0009,0.7051859704653421,0.8633
38,0.0001,0.699119401772817,0.8633
39,0.0002,0.6662559747695923,0.8600
40,0.0001,0.6580792609850565,0.8633
41,0.0001,0.6679621728261312,0.8567
42,0.0000,0.6893881567319234,0.8533
43,0.0000,0.6961782304445903,0.8600
44,0.0000,0.7011786047617594,0.8567
45,0.0000,0.7040314730008443,0.8600
46,0.0000,0.7090399138132731,0.8600
47,0.0000,0.709074683189392,0.8600
48,0.0000,0.7091162888209025,0.8600
49,0.0000,0.7150292213757833,0.8600
50,0.0000,0.7207118074099222,0.8600
51,0.0000,0.7153350679079692,0.8567
52,0.0000,0.7093198657035827,0.8600
53,0.0000,0.7064744798342387,0.8600
54,0.0000,0.7073761852582295,0.8600
55,0.0000,0.7014275018374125,0.8600
56,0.0000,0.7014183791478475,0.8600
57,0.0000,0.701046515305837,0.8600
58,0.0000,0.7012709800402324,0.8600
59,0.0000,0.7005835684140523,0.8600
60,0.0000,0.7019276070594788,0.8600
