epoch,train_loss,val_loss,val_acc
1,1.0509,1.1049621168772379,0.3333
2,0.7911,1.1470730590820313,0.3333
3,0.6158,1.3822557401657105,0.3333
4,0.4918,1.7249939235051472,0.3333
5,0.3729,1.6261482683817545,0.3500
6,0.2377,1.7541643253962198,0.3400
7,0.1232,2.141449899673462,0.4033
8,0.0984,1.7518507321675618,0.5200
9,0.0762,1.6170957501729328,0.5333
10,0.0616,0.8511302455266316,0.7333
11,0.0632,1.0132811109224955,0.7500
12,0.0482,0.8803176395098369,0.8000
13,0.0245,0.7920937132835388,0.7900
14,0.0154,0.8252995546658833,0.7800
15,0.0166,2.3380174668629965,0.6767
16,0.0164,1.4966429726282755,0.6967
17,0.0136,0.56290780266126,0.8667
18,0.0126,0.7886031770706177,0.8233
19,0.0056,0.6203470929463705,0.8200
20,0.0033,0.6764493485291799,0.8533
21,0.0032,0.7452908039093018,0.8400
22,0.0019,0.6748283537228902,0.8567
23,0.0013,0.6614391605059305,0.8500
24,0.0004,0.659988997777303,0.8533
25,0.0002,0.6474936159451803,0.8467
26,0.0002,0.6413816173871358,0.8500
27,0.0002,0.6321984227498373,0.8467
28,0.0001,0.625095222791036,0.8467
29,0.0002,0.6211439172426859,0.8500
30,0.0001,0.6172818477948506,0.8500
31,0.0001,0.6181364361445109,0.8533
32,0.0001,0.618507985273997,0.8533
33,0.0001,0.6197299957275391,0.8533
34,0.0001,0.6229220994313558,0.8533
35,0.0001,0.6249070326487224,0.8533
36,0.0001,0.6284471027056376,0.8567
37,0.0000,0.6278636908531189,0.8633
38,0.0000,0.6275148677825928,0.8633
39,0.0000,0.6306843503316244,0.8667
40,0.0000,0.6326655570665995,0.8667
41,0.0000,0.6334878579775493,0.8700
42,0.0000,0.6347877987225851,0.8700
43,0.0000,0.6376667873064676,0.8700
44,0.0000,0.6371687197685242,0.8700
45,0.0000,0.6369674889246623,0.8700
46,0.0000,0.6363051335016886,0.8700
47,0.0000,0.6328976877530416,0.8733
48,0.0000,0.6322637335459391,0.8733
49,0.0000,0.6322215223312377,0.8767
50,0.0000,0.636410182317098,0.8733
51,0.0000,0.6395321504275004,0.8733
52,0.0000,0.6431335838635762,0.8700
53,0.0000,0.6469976258277893,0.8700
54,0.0000,0.6478109550476074,0.8667
55,0.0000,0.6502778919537863,0.8667
56,0.0000,0.6511658239364624,0.8667
57,0.0000,0.6504711127281189,0.8667
58,0.0000,0.6510865807533264,0.8667
59,0.0000,0.6487012775739034,0.8700
60,0.0000,0.6467433643341064,0.8667
