epoch,train_loss,val_loss,val_acc
1,1.1812,1.1011468108495077,0.3333
2,0.8647,1.1616561873753866,0.3333
3,0.7210,1.3689759063720703,0.4833
4,0.5749,1.7495990482966106,0.3333
5,0.4512,2.2964471340179444,0.3333
6,0.3241,2.469706579844157,0.3400
7,0.2295,2.4116051801045737,0.3867
8,0.1623,1.7855027325948079,0.4733
9,0.1061,1.6259870624542236,0.5500
10,0.0865,1.1553223713239034,0.6433
11,0.0413,1.1657202998797098,0.6400
12,0.0176,0.6222403756777446,0.7800
13,0.0136,0.4851118326187134,0.8500
14,0.0098,0.6198865870634714,0.8500
15,0.0068,0.5581462033589681,0.8300
16,0.0049,0.527889982064565,0.8300
17,0.0035,0.5077033440272013,0.8233
18,0.0033,0.4949373245239258,0.8367
19,0.0031,0.49530232191085816,0.8467
20,0.0024,0.5015990626811981,0.8567
21,0.0022,0.5023425281047821,0.8600
22,0.0023,0.5031203333536783,0.8600
23,0.0022,0.502605586051941,0.8600
24,0.0020,0.5020443737506867,0.8633
25,0.0017,0.5035528902212779,0.8633
26,0.0021,0.5059933670361837,0.8633
27,0.0017,0.5062092483043671,0.8633
28,0.0018,0.5080909204483032,0.8667
29,0.0018,0.5077468812465668,0.8667
30,0.0017,0.5085872522989909,0.8667
31,0.0019,0.5096863627433776,0.8667
32,0.0016,0.5102806786696116,0.8667
33,0.0017,0.5114543068408967,0.8633
34,0.0018,0.5112243854999542,0.8633
35,0.0018,0.5114877768357595,0.8633
36,0.0015,0.512598082224528,0.8633
37,0.0016,0.5110372928778331,0.8633
38,0.0015,0.5120762646198272,0.8633
39,0.0015,0.5123169056574504,0.8633
40,0.0014,0.511569633881251,0.8633
41,0.0015,0.5112862153848012,0.8633
42,0.0016,0.5115844456354777,0.8633
43,0.0016,0.5126876759529114,0.8633
44,0.0016,0.5123296368122101,0.8633
45,0.0017,0.5126651763916016,0.8633
46,0.0014,0.5125934390226999,0.8633
47,0.0014,0.5115083436171214,0.8667
48,0.0017,0.5119672326246897,0.8633
49,0.0019,0.5119563027222951,0.8633
50,0.0017,0.5118628931045532,0.8667
51,0.0017,0.5112089920043945,0.8667
52,0.0016,0.5125548426310221,0.8667
53,0.0018,0.5118314103285472,0.8667
54,0.0015,0.5127131100495657,0.8633
55,0.0017,0.5139497737089793,0.8633
56,0.0015,0.5128765551249186,0.8667
57,0.0017,0.5118744464715322,0.8667
58,0.0018,0.5119885444641114,0.8667
59,0.0017,0.5137448954582214,0.8633
60,0.0019,0.5121905028820037,0.8667
