epoch,train_loss,val_loss,val_acc
1,0.8730,1.6525152858098349,0.3333
2,0.5550,1.1711052656173706,0.5433
3,0.3699,0.8526244227091472,0.6400
4,0.2123,0.8238997022310893,0.7533
5,0.1601,0.6085682527224223,0.7867
6,0.0784,0.5087992906570434,0.8433
7,0.0219,0.5458226605256399,0.8433
8,0.0153,0.6137940351168315,0.8300
9,0.0093,0.6074308311939239,0.8433
10,0.0162,0.591595166126887,0.8600
11,0.0042,0.503029461701711,0.8633
12,0.0014,0.5021197930971781,0.8500
13,0.0007,0.4881603137652079,0.8733
14,0.0007,0.5003269036610921,0.8733
15,0.0004,0.5051186152299245,0.8733
16,0.0005,0.5047075140476227,0.8733
17,0.0005,0.5067468019326528,0.8733
18,0.0006,0.5035644280910492,0.8767
19,0.0004,0.5060386848449707,0.8767
20,0.0003,0.5084487962722778,0.8800
21,0.0004,0.5152227556705475,0.8767
22,0.0003,0.5111493082841237,0.8767
23,0.0003,0.5120358475049337,0.8800
24,0.0003,0.5098563035329183,0.8733
25,0.0003,0.509620128472646,0.8800
26,0.0004,0.5121453976631165,0.8733
27,0.0003,0.5093770710627238,0.8733
28,0.0003,0.5130507711569469,0.8767
29,0.0002,0.5137891757488251,0.8733
30,0.0003,0.5144605565071106,0.8733
31,0.0003,0.5129385594526926,0.8733
32,0.0003,0.5176584525903066,0.8767
33,0.0003,0.5151768438021342,0.8733
34,0.0003,0.5162910377979278,0.8733
35,0.0002,0.5122181125481924,0.8733
36,0.0003,0.5153425268332164,0.8800
37,0.0003,0.5137352931499481,0.8733
38,0.0002,0.518637128273646,0.8767
39,0.0002,0.518761469523112,0.8733
40,0.0005,0.5170322585105896,0.8733
41,0.0002,0.5183015783627828,0.8733
42,0.0002,0.5189134323596954,0.8733
43,0.0002,0.5157621467113495,0.8733
44,0.0002,0.517419859568278,0.8733
45,0.0002,0.5150253220399221,0.8767
46,0.0003,0.5144975674152374,0.8733
47,0.0003,0.5160400950908661,0.8733
48,0.0004,0.5158841653664907,0.8733
49,0.0003,0.5152145123481751,0.8733
50,0.0002,0.5162835717201233,0.8733
51,0.0002,0.5157981677850088,0.8733
52,0.0002,0.5120900642871856,0.8733
53,0.0002,0.5167720143000285,0.8733
54,0.0003,0.5163464256127676,0.8733
55,0.0002,0.5172020892302195,0.8733
56,0.0003,0.5175012898445129,0.8733
57,0.0002,0.5167751900355021,0.8733
58,0.0002,0.5177098536491394,0.8767
59,0.0002,0.5176949059963226,0.8733
60,0.0003,0.5159638830025991,0.8733
