epoch,train_loss,val_loss,val_acc
1,0.8482,2.0394323285420737,0.3333
2,0.6423,1.5239863284428914,0.5667
3,0.4968,1.1572826353708903,0.5900
4,0.3046,1.2928261709213258,0.5333
5,0.2227,1.7698177830378214,0.5400
6,0.1102,0.4475553592046102,0.8500
7,0.0317,0.6412867474555969,0.7933
8,0.0147,0.47431083957354225,0.8733
9,0.0082,0.49889017502466837,0.8633
10,0.0054,0.5052298438549042,0.8767
11,0.0021,0.4667224101225535,0.8733
12,0.0014,0.46815280278523763,0.8800
13,0.0008,0.48635732730229697,0.8800
14,0.0008,0.5176288108030955,0.8800
15,0.0010,0.5158159708976746,0.8733
16,0.0013,0.5252427669366201,0.8700
17,0.0007,0.5561872526009878,0.8767
18,0.0007,0.5431606487433116,0.8733
19,0.0007,0.5357738669713338,0.8733
20,0.0008,0.5303714688618978,0.8700
21,0.0005,0.5289839684963227,0.8733
22,0.0005,0.5225164473056794,0.8733
23,0.0006,0.517119040886561,0.8733
24,0.0004,0.5171842976411184,0.8800
25,0.0004,0.5189774886767069,0.8800
26,0.0004,0.5209007843335469,0.8767
27,0.0005,0.5122975794474284,0.8733
28,0.0006,0.5285304844379425,0.8800
29,0.0005,0.5286473226547241,0.8833
30,0.0005,0.5260464036464692,0.8800
31,0.0006,0.5215626013278961,0.8767
32,0.0004,0.5247768843173981,0.8767
33,0.0004,0.5273052597045899,0.8800
34,0.0003,0.5181139866511028,0.8767
35,0.0004,0.5298781828085581,0.8833
36,0.0004,0.5324858391284942,0.8833
37,0.0003,0.5254888089497884,0.8767
38,0.0003,0.528928370475769,0.8800
39,0.0005,0.532791508436203,0.8833
40,0.0003,0.527536601225535,0.8800
41,0.0004,0.5242152472337087,0.8767
42,0.0005,0.5279565437634786,0.8833
43,0.0004,0.529186472495397,0.8767
44,0.0004,0.5255475290616354,0.8767
45,0.0005,0.5262175496419271,0.8767
46,0.0004,0.5317635214328766,0.8800
47,0.0004,0.521019629240036,0.8733
48,0.0004,0.5269110306104025,0.8733
49,0.0004,0.5242377452055613,0.8800
50,0.0004,0.5278161358833313,0.8767
51,0.0005,0.522387299935023,0.8767
52,0.0004,0.5262139761447906,0.8767
53,0.0005,0.5242285919189453,0.8767
54,0.0005,0.5317249159018199,0.8800
55,0.0004,0.5308883241812388,0.8833
56,0.0004,0.5314134045441945,0.8800
57,0.0004,0.524945422410965,0.8733
58,0.0004,0.521034684975942,0.8767
59,0.0004,0.5290214737256368,0.8767
60,0.0007,0.5212783133983612,0.8733
