epoch,train_loss,val_loss,val_acc,lr
1,0.9444,0.8566,0.5867,0.00010000
2,0.7412,0.7630,0.6633,0.00010000
3,0.6439,0.6821,0.7233,0.00010000
4,0.5895,0.5643,0.7733,0.00010000
5,0.4933,0.6102,0.7533,0.00010000
6,0.4564,0.8716,0.7000,0.00010000
7,0.4362,0.5625,0.7533,0.00010000
8,0.3855,0.3698,0.8733,0.00010000
9,0.2977,0.5528,0.8067,0.00010000
10,0.3173,0.4434,0.8400,0.00010000
11,0.3121,0.4792,0.8233,0.00010000
12,0.2749,0.4869,0.8300,0.00010000
13,0.3031,0.3960,0.8600,0.00010000
14,0.2520,0.6540,0.8200,0.00010000
15,0.1951,0.5864,0.8433,0.00010000
16,0.1415,0.4552,0.8700,0.00005000
17,0.1300,0.4197,0.8633,0.00005000
18,0.1054,0.3718,0.8633,0.00005000
19,0.0892,0.4646,0.8833,0.00005000
20,0.1060,0.3686,0.9033,0.00005000
21,0.0734,0.4435,0.8667,0.00005000
22,0.0689,0.4516,0.8900,0.00005000
23,0.0805,0.4665,0.8867,0.00005000
24,0.1126,0.4611,0.8767,0.00005000
25,0.0897,0.4514,0.8900,0.00005000
26,0.0583,0.3925,0.8967,0.00005000
27,0.0884,0.4402,0.8900,0.00005000
28,0.0412,0.4671,0.8700,0.00005000
29,0.0444,0.4587,0.8733,0.00005000
30,0.0603,0.4724,0.9067,0.00005000
31,0.0729,0.3364,0.9067,0.00002500
32,0.0302,0.4990,0.8900,0.00002500
33,0.0360,0.3944,0.9067,0.00002500
34,0.0314,0.4637,0.9067,0.00002500
35,0.0249,0.4581,0.9033,0.00002500
36,0.0222,0.4433,0.9033,0.00002500
37,0.0172,0.3977,0.8967,0.00002500
38,0.0231,0.4406,0.9100,0.00002500
39,0.0259,0.4684,0.8800,0.00002500
40,0.0279,0.5431,0.8700,0.00002500
41,0.0101,0.4547,0.9100,0.00002500
42,0.0217,0.5083,0.8900,0.00002500
43,0.0178,0.6467,0.8567,0.00002500
44,0.0413,0.4713,0.8867,0.00002500
45,0.0214,0.6032,0.8767,0.00002500
46,0.0194,0.5100,0.9000,0.00001250
47,0.0175,0.5129,0.8800,0.00001250
48,0.0137,0.4594,0.8933,0.00001250
49,0.0138,0.4259,0.8967,0.00001250
50,0.0137,0.4747,0.8833,0.00001250
51,0.0081,0.4814,0.8800,0.00001250
52,0.0121,0.4196,0.9033,0.00001250
53,0.0086,0.4505,0.9000,0.00001250
