epoch,train_loss,val_loss,val_acc
1,0.9016,1.6256716680526733,0.3333
2,0.6679,1.4510132662455242,0.5167
3,0.4867,1.117944844563802,0.6100
4,0.3495,0.6395687055587769,0.7367
5,0.2535,0.7439200838406881,0.7767
6,0.1680,0.7256303135553995,0.7933
7,0.1079,0.9625427468617758,0.7467
8,0.0909,1.1667921980222067,0.7400
9,0.0665,0.7625776076316834,0.8033
10,0.0448,0.8781557099024455,0.7800
11,0.0356,0.6801171008745829,0.8200
12,0.0472,2.9481775029500326,0.6700
13,0.0915,1.4790223916371663,0.7700
14,0.2097,0.8626771426200867,0.8200
15,0.1072,0.570459311803182,0.8233
16,0.0254,0.6233096146583557,0.8633
17,0.0149,0.6067654140790304,0.8567
18,0.0027,0.5629715736707052,0.8667
19,0.0022,0.5532713079452515,0.8900
20,0.0007,0.5110483765602112,0.8800
21,0.0003,0.5031821354230245,0.8833
22,0.0002,0.5183044338226318,0.8800
23,0.0002,0.5240862687428792,0.8800
24,0.0001,0.5415560332934062,0.8833
25,0.0001,0.5458222540219625,0.8733
26,0.0001,0.5458082405726115,0.8767
27,0.0001,0.5549377791086832,0.8833
28,0.0001,0.5633307234446208,0.8800
29,0.0001,0.5732008147239686,0.8800
30,0.0000,0.5743249773979187,0.8833
31,0.0001,0.5812772019704183,0.8767
32,0.0000,0.5957516876856486,0.8867
33,0.0000,0.6006405750910441,0.8867
34,0.0000,0.6048040397961935,0.8867
35,0.0000,0.6076751136779786,0.8833
36,0.0000,0.6213690630594889,0.8867
37,0.0001,0.6240063945452372,0.8833
38,0.0000,0.6378609108924865,0.8867
39,0.0000,0.6337239678700765,0.8767
40,0.0000,0.6392187468210856,0.8833
41,0.0000,0.6451309219996134,0.8867
42,0.0000,0.6555844910939534,0.8867
43,0.0000,0.6508877340952556,0.8767
44,0.0000,0.6579064663251241,0.8800
45,0.0000,0.6544616858164469,0.8800
46,0.0000,0.654601514339447,0.8800
47,0.0000,0.6635528969764709,0.8833
48,0.0000,0.6623398303985596,0.8767
49,0.0000,0.6616327730814616,0.8800
50,0.0000,0.6631067125002543,0.8833
51,0.0000,0.6653550378481548,0.8833
52,0.0000,0.6690477466583252,0.8800
53,0.0000,0.6713778217633565,0.8800
54,0.0000,0.6727565773328146,0.8800
55,0.0000,0.6760641702016195,0.8767
56,0.0000,0.672960881392161,0.8800
57,0.0000,0.6663631693522135,0.8767
58,0.0000,0.6684439492225647,0.8733
59,0.0000,0.6722033588091533,0.8767
60,0.0000,0.671283503373464,0.8800
61,0.0000,0.6779862523078919,0.8767
62,0.0000,0.6803128592173259,0.8800
63,0.0000,0.6815886998176575,0.8767
64,0.0000,0.6840760056177775,0.8800
65,0.0000,0.6853778966267904,0.8833
66,0.0000,0.6877163147926331,0.8867
67,0.0000,0.6873329218228658,0.8800
68,0.0000,0.6880150087674459,0.8800
69,0.0000,0.6930672470728556,0.8833
70,0.0000,0.692520927588145,0.8767
71,0.0000,0.6974444444974264,0.8833
72,0.0000,0.6958514865239461,0.8833
73,0.0000,0.7009827693303426,0.8833
74,0.0000,0.7008091958363851,0.8800
75,0.0000,0.7012756172815958,0.8800
76,0.0000,0.6988758691151937,0.8833
77,0.0000,0.7028931991259257,0.8833
78,0.0000,0.7112198837598165,0.8867
79,0.0000,0.7073415811856588,0.8833
80,0.0000,0.7128868126869201,0.8800
81,0.0000,0.71251416126887,0.8800
82,0.0000,0.7133129262924194,0.8833
83,0.0000,0.7080648501714071,0.8800
84,0.0000,0.7143851272265116,0.8833
85,0.0000,0.7160090311368307,0.8833
86,0.0000,0.7157362206776937,0.8800
87,0.0000,0.71886701186498,0.8867
88,0.0000,0.7174374039967855,0.8833
89,0.0000,0.7217398556073507,0.8800
90,0.0000,0.7257477664947509,0.8833
91,0.0000,0.7353004304567973,0.8867
92,0.0000,0.7330254340171813,0.8867
93,0.0000,0.7334901666641236,0.8867
94,0.0000,0.7287130856513977,0.8867
95,0.0000,0.7301735337575277,0.8867
96,0.0000,0.7236960434913635,0.8867
97,0.0000,0.7313402239481608,0.8800
98,0.0000,0.7305739998817444,0.8833
99,0.0000,0.7306471840540568,0.8833
100,0.0000,0.7322321359316508,0.8833
