epoch,train_loss,val_loss,val_acc,lr
1,1.1876,2.7226,0.5267,0.01000000
2,0.9807,0.7322,0.7167,0.01000000
3,0.8157,0.6857,0.7033,0.01000000
4,0.7041,0.8072,0.6533,0.01000000
5,0.6455,0.6966,0.7167,0.01000000
6,0.6831,0.5557,0.7633,0.01000000
7,0.5649,0.5873,0.7633,0.01000000
8,0.5256,0.5509,0.7700,0.01000000
9,0.5263,0.8762,0.7000,0.01000000
10,0.5227,0.5569,0.7667,0.01000000
11,0.4701,0.5075,0.7967,0.01000000
12,0.4194,0.5494,0.8067,0.01000000
13,0.4191,0.4665,0.8100,0.01000000
14,0.4346,0.4290,0.8500,0.01000000
15,0.4153,0.5049,0.7867,0.01000000
16,0.3240,0.3852,0.8633,0.01000000
17,0.3128,0.5568,0.8167,0.01000000
18,0.3658,0.4974,0.8333,0.01000000
19,0.3025,0.4721,0.8267,0.01000000
20,0.3039,0.4371,0.8433,0.01000000
21,0.2854,0.5220,0.8333,0.01000000
22,0.2771,0.3855,0.8767,0.01000000
23,0.2714,0.3422,0.8733,0.01000000
24,0.2933,0.3612,0.8533,0.01000000
25,0.2738,0.3298,0.8800,0.01000000
26,0.1925,0.9219,0.7667,0.01000000
27,0.2566,0.5128,0.8400,0.01000000
28,0.1815,0.4317,0.8733,0.01000000
29,0.2057,0.4525,0.8600,0.01000000
30,0.2275,0.3876,0.8667,0.01000000
31,0.1891,0.2988,0.9000,0.01000000
32,0.1972,0.4099,0.8600,0.01000000
33,0.1796,0.6255,0.7967,0.01000000
34,0.1730,0.4663,0.8667,0.01000000
35,0.1892,0.7959,0.7900,0.01000000
36,0.1564,0.4526,0.8733,0.01000000
37,0.1429,0.6545,0.8633,0.01000000
38,0.1739,0.5153,0.8500,0.01000000
39,0.1530,0.4175,0.8767,0.01000000
40,0.1544,0.4097,0.8700,0.01000000
41,0.1586,0.3574,0.8767,0.01000000
42,0.0917,0.4832,0.8833,0.01000000
43,0.1418,0.5566,0.8467,0.01000000
44,0.1324,0.4263,0.8967,0.01000000
45,0.1736,0.3937,0.8700,0.01000000
46,0.1823,0.4729,0.8533,0.01000000
