epoch,train_loss,val_loss,val_acc
1,1.2282,1.1028472487131755,0.3333
2,0.7531,1.1723931646347046,0.3333
3,0.6101,1.6090151389439902,0.3333
4,0.5265,1.6026771767934163,0.3333
5,0.3733,1.9056120840708415,0.3467
6,0.2610,1.7503067048390706,0.3667
7,0.1888,1.4258754444122315,0.5133
8,0.1155,1.2490576696395874,0.4800
9,0.0638,1.0376203767458598,0.5767
10,0.0235,1.3680971479415893,0.6167
11,0.0105,0.7251023189226786,0.7600
12,0.0078,0.46973701814810437,0.8267
13,0.0041,0.4702409545580546,0.8500
14,0.0028,0.4917388089497884,0.8400
15,0.0021,0.4881291715304057,0.8400
16,0.0017,0.46905065755049385,0.8433
17,0.0014,0.476694463690122,0.8633
18,0.0013,0.49703829050064086,0.8567
19,0.0012,0.5057105074326197,0.8500
20,0.0009,0.5005953631798427,0.8533
21,0.0011,0.49869031270345054,0.8533
22,0.0010,0.49129302124182384,0.8467
23,0.0009,0.4858029200633367,0.8433
24,0.0008,0.4837612591187159,0.8500
25,0.0009,0.48068130215009053,0.8467
26,0.0009,0.48080171485741935,0.8500
27,0.0008,0.47969807306925455,0.8533
28,0.0007,0.481238933801651,0.8567
29,0.0007,0.4816679886976878,0.8567
30,0.0008,0.48361973106861117,0.8567
31,0.0007,0.4848982673883438,0.8567
32,0.0008,0.48699311673641205,0.8633
33,0.0007,0.4879972267150879,0.8633
34,0.0007,0.48733004291852317,0.8600
35,0.0007,0.4864352120955785,0.8567
36,0.0008,0.4890034071604411,0.8600
37,0.0008,0.4898715390761693,0.8633
38,0.0008,0.4914321712652842,0.8667
39,0.0008,0.4929670524597168,0.8667
40,0.0008,0.49304494003454846,0.8700
41,0.0007,0.4928579388062159,0.8667
42,0.0008,0.49185442944367724,0.8633
43,0.0008,0.4908600072065989,0.8500
44,0.0008,0.49075480063756305,0.8533
45,0.0008,0.49154221296310424,0.8633
46,0.0008,0.49165898700555166,0.8667
47,0.0007,0.49107602417469026,0.8667
48,0.0008,0.4907420754432678,0.8667
49,0.0008,0.4911920901139577,0.8500
50,0.0007,0.4915996611118317,0.8567
51,0.0007,0.4919815848271052,0.8633
52,0.0007,0.4899942143758138,0.8600
53,0.0007,0.49089081545670826,0.8700
54,0.0008,0.49059655408064523,0.8533
55,0.0007,0.49015265425046284,0.8600
56,0.0008,0.49096132516860963,0.8600
57,0.0007,0.4908914734919866,0.8567
58,0.0007,0.49168102343877157,0.8633
59,0.0007,0.4914267470439275,0.8600
60,0.0007,0.4915434197584788,0.8567
